ID,Authors,Title,Year,Source title,DOI,EID
SB1,"Oliner A., Ganapathi A., Xu W.",Advances and challenges in log analysis,2012,Communications of the ACM,10.1145/2076450.2076466,2-s2.0-84863395085
SB2,"Chowdhury S., Di Nardo S., Hindle A., Jiang Z.M.J.",An exploratory study on assessing the energy impact of logging on android applications,2017,Empir. Softw. Eng.,,2-s2.0-85053793043
SB3,"Chen B., Jiang Z.M.",Characterizing and Detecting Anti-Patterns in the Logging Code,2017,"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering, ICSE 2017",10.1109/ICSE.2017.15,2-s2.0-85027693932
SB4,"Chen B., (Jack) Jiang Z.M.",Characterizing logging practices in Java-based open source software projects – a replication study in Apache Software Foundation,2017,Empirical Software Engineering,10.1007/s10664-016-9429-5,2-s2.0-84966320690
SB5,"Yuan D., Park S., Zhou Y.",Characterizing logging practices in open-source software,2012,Proceedings - International Conference on Software Engineering,10.1109/ICSE.2012.6227202,2-s2.0-84864189557
SB6,"He P., He S., Chen Z., Lyu M.R.",Characterizing the natural language descriptions in software logging statements,2018,ASE 2018 - Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,10.1145/3238147.3238193,
SB7,"Li Z., Chen T.-H., Yang J., Shang W.",DLFinder: Characterizing and Detecting Duplicate Logging Code Smells,2019,Proceedings - International Conference on Software Engineering,10.1109/ICSE.2019.00032,
SB8,"Kabinna S., Bezemer C.-P., Shang W., Syer M.D., Hassan A.E.",Examining the stability of logging statements,2018,Empirical Software Engineering,10.1007/s10664-017-9518-0,2-s2.0-85020550233
SB9,"Chen B., Jiang Z.M.J.",Extracting and studying the Logging-Code-Issue-Introducing changes in Java-based large-scale open source software systems,2019,Empirical Software Engineering,10.1007/s10664-019-09690-0,
SB10,"Obrębski D., Sosnowski J.",Log Based Analysis of Software Application Operation,2020,Advances in Intelligent Systems and Computing,10.1007/978-3-030-19501-4_37,
SB11,"Lin Q., Zhang H., Lou J.-G., Zhang Y., Chen X.",Log clustering based problem identification for online service systems,2016,Proceedings - International Conference on Software Engineering,10.1145/2889160.2889232,2-s2.0-85013317229
SB12,"Zhao X., Stumm M., Rodrigues K., Yuan D., Luo Y., Zhou Y.",Log20: Fully Automated Optimal Placement of Log Printing Statements under Specified Overhead Threshold,2017,SOSP 2017 - Proceedings of the 26th ACM Symposium on Operating Systems Principles,10.1145/3132747.3132778,2-s2.0-85041638832
SB13,"Gholamian S., Ward P.A.S.",Logging statements' prediction based on source code clones,2020,Proceedings of the ACM Symposium on Applied Computing,10.1145/3341105.3373845,
SB14,"Hassani M., Shang W., Shihab E., Tsantalis N.",Studying and detecting log-related issues,2018,Empirical Software Engineering,10.1007/s10664-018-9603-z,
SB15,"Shang W., Nagappan M., Hassan A.E.",Studying the relationship between logging characteristics and the code quality of platform software,2015,Empirical Software Engineering,10.1007/s10664-013-9274-8,2-s2.0-84922001381
SB16,"Li H., Shang W., Zou Y., E. Hassan A.",Towards just-in-time suggestions for log changes,2017,Empirical Software Engineering,10.1007/s10664-016-9467-z,2-s2.0-84992220706
SB17,"Fu Q., Zhu J., Hu W., Lou J.-G., Ding R., Lin Q., Zhang D., Xie T.",Where do developers log? An empirical study on logging practices in industry,2014,"36th International Conference on Software Engineering, ICSE Companion 2014 - Proceedings",10.1145/2591062.2591175,2-s2.0-84903635229
SB18,"Li Z., Chen T.-H., Shang W.",Where Shall We Log? Studying and Suggesting Logging Locations in Code Blocks,2020,"Proceedings - 2020 35th IEEE/ACM International Conference on Automated Software Engineering, ASE 2020",10.1145/3324884.3416636,
