Language of Original Document,Document Type,Year,Authors,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Source,EID
English,Conference Paper,2019,"Anu H., Chen J., Shi W., Hou J., Liang B., Qin B.",An Approach to Recommendation of Verbosity Log Levels Based on Logging Intention,"Proceedings - 2019 IEEE International Conference on Software Maintenance and Evolution, ICSME 2019",,,8919094,125,134,,2,10.1109/ICSME.2019.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077183129&doi=10.1109%2fICSME.2019.00022&partnerID=40&md5=da69162b617f17c6a06097724bed0318,"Verbosity levels of logs are designed to discriminate highly diverse runtime events, which facilitates system failure identification through simple keyword search (e.g., fatal, error). Verbosity levels should be properly assigned to logging statements, as inappropriate verbosity levels would confuse users and cause a lot of redundant maintenance effort. However, to achieve such a goal is not an easy task due to the lack of practical specifications and guidelines towards verbosity log level usages. The existing research has built a classification model on log related quantitative metrics such as log density to improve logging level practice. Though such quantitative metrics can reveal logging characteristics, their contributions on logging level decision are limited, since valuable logging intention information buried in logging code context can not be captured. In this paper, we propose an automatic approach to help developers determine the appropriate verbosity log levels. More specially, our approach discriminates different verbosity log level usages based on code context features that contain underlying logging intention. To validate our approach, we implement a prototype tool, VerbosityLevelDirector, and perform a case study to measure its effectiveness on four well-known open source software projects. Evaluation results show that VerbosityLevelDirector achieves high performance on verbosity level discrimination and outperforms the baseline approaches on all those projects. Furthermore, through applying noise handling technique, our approach can detect previously unknown inappropriate verbosity level configurations in the code repository. We have reported 21 representative logging level errors with modification advice to issue tracking platforms of the examined software projects and received positive feedback from their developers. The above results confirm that our work can help developers make a better logging level decision in real-world engineering. © 2019 IEEE.",Scopus,2-s2.0-85077183129
English,Article,2021,"Duan X., Ying S., Yuan W., Cheng H., Yin X.",QLLog: A log anomaly detection method based on Q-learning algorithm,Information Processing and Management,58,3,102540,,,,,10.1016/j.ipm.2021.102540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100679368&doi=10.1016%2fj.ipm.2021.102540&partnerID=40&md5=79b97a1a76a88de241fd50e64eb24abb,"Most of the existing log anomaly detection methods suffer from scalability and numerous false positives. Besides, they cannot rank the severity level of abnormal events. This paper proposes a log anomaly detection based on Q-learning, namely QLLog, which can detect multiple types of system anomalies and rank the severity level of abnormal events. We first build a mathematical model of log anomaly detection, proving that log anomaly detection is a sequential decision problem. Second, we use the Q-learning algorithm to build the core of the anomaly detection model. This allows QLLog to automatically learn directed acyclic graph log patterns from normal execution and adjust the training model according to the reward value. Then, QLLog combines the advantages of the Q-learning algorithm and the specially designed rules to detect anomalies when log patterns deviate from the model trained from log data under normal execution. Besides, we provide a feedback mechanism and build an abnormal level table. Therefore, QLLog can adapt to new log states and log patterns. Experiments on real datasets show that the method can quickly and effectively detect system anomalies. Compared with the state of the art, QLLog can detect numerous real problems with high accuracy 95%, and its scalability outperforms other existing log-based anomaly detection methods. © 2021 Elsevier Ltd",Scopus,2-s2.0-85100679368
English,Article,2015,"Tak S.H., Zhang H., Hong S.H.",Preferred computer activities among individuals with dementia: A pilot study,Journal of Gerontological Nursing,41,3,,50,57,,6,10.3928/00989134-20141029-01,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927784660&doi=10.3928%2f00989134-20141029-01&partnerID=40&md5=dd23421825dcb7f3cf621e4a6f7cd009,"Computers offer new activities that are easily accessible, cognitively stimulating, and enjoyable for individuals with dementia. The current descriptive study examined preferred computer activities among nursing home residents with different severity levels of dementia. A secondary data analysis was conducted using activity observation logs from 15 study participants with dementia (severe = 115 logs, moderate = 234 logs, and mild = 124 logs) who participated in a computer activity program. Significant differences existed in preferred computer activities among groups with different severity levels of dementia. Participants with severe dementia spent significantly more time watching slide shows with music than those with both mild and moderate dementia (F [2,12] = 9.72, p = 0.003). Preference in playing games also differed significantly across the three groups. It is critical to consider individuals' interests and functional abilities when computer activities are provided for individuals with dementia. A practice guideline for tailoring computer activities is detailed. © SLACK Incorporated.",Scopus,2-s2.0-84927784660
Chinese,Article,2009,"Jing X., Huang W.-J., Wang J.-H., Wang J.-D., Wang K.-R.",Hyperspectral inversion models on verticillium wilt severity of cotton leaf,Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis,29,12,,3348,3352,,4,10.3964/j.issn.1000-0593(2009)12-3348-05,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449203129&doi=10.3964%2fj.issn.1000-0593%282009%2912-3348-05&partnerID=40&md5=e30da53fd979f22ce8dca0c9542e6636,"The correlation of cotton leaf verticillium wilt severity level with raw hyperspectral reflectance, first derivative hyperspectral reflectance, and hyperspectral characteristic parameters was analyzed. Using linear and nonlinear regression methods, the hyperspectral remote sensing retrieval models of verticillium wilt severity level with remote sensing parameters as independent variables were constructed and validated. The result showed that spectral reflectance increased significantly in visible and short infrared wave band with the increase in the severity level, and this is especially significant in visible band. The raw spectral reflectance has the maximum coefficient of determination at 694 nm (R2=0.4616) with severity level and the logarithm model constructed with reflectance at this point is the better one as compared to linear model. By the precision evaluation of retrieval models, the linear model with the first derivative reflectance at 717 nm as independent variable was proved to be the best, with R2=0.4889, RMSE=0.2571, and relative error=12.74%, for the estimation of verticllium wilt severity level of cotton leaf. The results provide a good basis for further studying monitoring mechanism of cotton verticillium wilt by remote sensing data, and have an important application in acquiring cotton disease information using hyperspectral remote sensing.",Scopus,2-s2.0-72449203129
English,Conference Paper,2019,"Rochim A.F., Aziz M.A., Fauzi A.",Design Log Management System of Computer Network Devices Infrastructures Based on ELK Stack,"ICECOS 2019 - 3rd International Conference on Electrical Engineering and Computer Science, Proceeding",,,8984494,338,342,,4,10.1109/ICECOS47637.2019.8984494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084291687&doi=10.1109%2fICECOS47637.2019.8984494&partnerID=40&md5=b807f9dfb015114bcf29a02a3812ecaf,"Device monitoring is an important thing to manage networks. Information-related network state or condition can be gathered through the device monitoring for administrators to take decisions regarding occurred events. Logs can be useful information to monitor network devices. Network administrator of Diponegoro University needs a centralized the logs, so that can receive, manage, and analyze logs. This research identifies functional requirements of the log management system. DSR Method was used to design topology and software of the log management system. The next step is implementation of the topology, software, and application. The last step is testing the system and log management application. The results show that collecting centralized logs and processing these logs into information in the form of dashboards using ELK Stack application successfully implemented. The dashboard resulted by ELK Stack Application will be implemented on the web application using PHP programming language and Code Igniter framework. The test results show that system can receive logs and group the log according to the device location and the severity level of the log. © 2019 IEEE.",Scopus,2-s2.0-85084291687
English,Conference Paper,2017,"Tran H.M., Van Nguyen S., Le S.T., Vu Q.T.",Applying data analytic techniques for fault detection,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10140 LNCS,,,30,46,,,10.1007/978-3-662-54173-9_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009734030&doi=10.1007%2f978-3-662-54173-9_2&partnerID=40&md5=cd8e18d4984ad55743117de7223aee0f,"Monitoring events in communication and computing systems becomes more and more challenging due to the increasing complexity and diversity of these systems. Several supporting tools have been created to assist system administrators in monitoring an enormous number of events daily. The main function of these tools is to filter as many as possible events and present highly suspected events to the administrators for fault analysis, detection and report. While these suspected events appear regularly on large and complex systems, such as cloud computing systems, analyzing them consumes much time and effort. In this study, we propose an approach for evaluating the severity level of events using a classification decision tree. The approach exploits existing fault datasets and features, such as bug reports and log events to construct a decision tree that can be used to classify the severity level of other events. The administrators refer to the result of classification to determine proper actions for the suspected events with a high severity level. We have implemented and experimented the approach for various bug report and log event datasets. The experimental results reveal that the accuracy of classifying severity levels by using the decision trees is above 80%, and some detailed analyses are also provided. © Springer-Verlag GmbH Germany 2017.",Scopus,2-s2.0-85009734030
English,Conference Paper,2020,"Kim T., Kim S., Park S., Park Y.",Automatic recommendation to appropriate log levels,Software - Practice and Experience,50,3,,189,209,,,10.1002/spe.2771,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075740067&doi=10.1002%2fspe.2771&partnerID=40&md5=e9fbcad602c176e3ce952b84f6b60531,"A log statement is one of the key tactics for a developer to record and monitor important run-time behaviors of our system in a development phase and a maintenance phase. It composes of a message for stating log contents, and a log level (eg, debug or warn) to denote the severity of a message and controlling its visibility at run time. In spite of its usefulness, a developer does not tend to deeply consider which log level is appropriate in writing source code, which causes the system to be unmaintainable. To address this issue, this paper proposes an automatic approach to validating the appropriateness of the log level in consideration of the semantic and syntactic features and recommending a proper alternative log level. We first build the semantic feature vector to quantify the semantic similarity among application log messages using the word vector space, and the syntactic feature vector to capture the application context that surrounds the log statement. Based on the feature vectors and machine learning techniques, the log level is automatically validated, and an alternative log level is recommended if the log level is invalid. For the evaluation, we collected 22 open-source projects from three application domains, and obtained the 77% of precision and 75% of recall in validating the log levels. Also, our approach showed 6% higher accuracy than that of the developer group who has 7 to 8 years of work experience, and 72% of the developers accepted our recommendation. © 2019 John Wiley & Sons, Ltd.",Scopus,2-s2.0-85075740067
English,Article,2016,"Bradley C.M., Hanson C.T., DellaSala D.A.",Does increased forest protection correspond to higher fire severity in frequent-fire forests of the western United States?,Ecosphere,7,10,e01492,,,,12,10.1002/ecs2.1492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993981966&doi=10.1002%2fecs2.1492&partnerID=40&md5=fb377e19fa584a6fd089d0a78a1ee184,"There is a widespread view among land managers and others that the protected status of many forestlands in the western United States corresponds with higher fire severity levels due to historical restrictions on logging that contribute to greater amounts of biomass and fuel loading in less intensively managed areas, particularly after decades of fire suppression. This view has led to recent proposals-both administrative and legislative-to reduce or eliminate forest protections and increase some forms of logging based on the belief that restrictions on active management have increased fire severity. We investigated the relationship between protected status and fire severity using the Random Forests algorithm applied to 1500 fires affecting 9.5 million hectares between 1984 and 2014 in pine (Pinus ponderosa, Pinus jeffreyi) and mixed-conifer forests of western United States, accounting for key topographic and climate variables. We found forests with higher levels of protection had lower severity values even though they are generally identified as having the highest overall levels of biomass and fuel loading. Our results suggest a need to reconsider current overly simplistic assumptions about the relationship between forest protection and fire severity in fire management and policy. © 2016 Bradley et al.",Scopus,2-s2.0-84993981966
English,Book Chapter,2013,Ruvalcaba C.,Security information and event management systems ... a need in the real world,Advances in Security Information Management: Perceptions and Outcomes,,,,1,26,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891962783&partnerID=40&md5=ff432420267448c45b914e61eccfa9a4,"Security Information Event Management (SIEM) systems are becoming morecommonplace in the corporate world. Generally, they are deployed in a plug-n-playfashion and used for fulfilling auditory requirements. Though each organization is different,there are common points and processes that can be followed in order to ensurethe proper use and maximum return on investment in the acquired tools, being theSIEM devices central points for the analytical tasks.Basically, SIEM devices collect logs from a series of the security appliances andapplications deployed over the organization's network. Amongst their numerous advantages,SIEM devices have the ability to aggregate the reported logs in correlationwith each other in order to assist the analyst in determining which of the securityevents should take a higher priority. The establishment of this priority is mostly basedon the nature, source and severity level of the events. Apart from the logs reportedfrom dedicated security appliances, logs from any other system and application arealso sent to SIEM collectors to reach a more complete snapshot of the current state ofthe environment. The correlation of these logs provides higher reliability and accuracyof the events, and potentially decrease the number of security incidents. © 2013 Nova Science Publishers, Inc.",Scopus,2-s2.0-84891962783
English,Conference Paper,2018,"Kim T., Kim S., Yoo C.-J., Cho S., Park S.",An Automatic Approach to Validating Log Levels in Java,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",2018-December,,8719571,623,627,,3,10.1109/APSEC.2018.00078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066785090&doi=10.1109%2fAPSEC.2018.00078&partnerID=40&md5=2df919270f524c63387aa64a25095511,"A log statement is used to record important runtime behavior of software systems for diverse reasons, which is inevitable to develop most of the software systems. However, developers do not tend to deeply consider an appropriate log level in their source code. In order to address the issues, this paper proposes an automatic approach to validating log levels in Java in consideration of the syntactic as well as semantic features. We first build up the Word2Vec model and generate semantic and syntactic log feature vectors, then train the machine learning classifiers to automatically validate the log levels. For the evaluation, we collected six open source projects of the message-oriented middleware domain, and obtained the 88% precision and the 87% recall respectively. © 2018 IEEE.",Scopus,2-s2.0-85066785090
